"Symbol","Link"
"a pair of masks, one of a young woman, the other of a old malevolent man-worldliness, insincerity, falsehood",""
"Angel smiling while carrying the coffin of the Pope-angel glad that the soul of the Pope had beeneived among the blessed spirits",""
"Angel wepting while carrying the coffin of the Pope-angel grieved that the world had been deprived of such a man",""
"Ape-everything subhuman in man (lust, greed, gluttony, shamelessness)",""
"Ape-lower soul",""
"Apollo-Idolatry",""
"archers without arrows-tools of a force beyond their will and consciousness",""
"Bacchus-Folly",""
"bat-melancholy","https://w3id.org/simulation/data/batAnimal-melancholy"
"beams of light - God's word",""
"bear-anger",""
"Blind Fortune blindfolding Cupid and putting him on a sphere-affection changes with luck",""
"blowing in a cone shell-generating panic terror",""
"blowing in a tube-fertilising",""
"blue-hue of heaven",""
"book-attribute of wisdom",""
"bowl on a book-wisdom",""
"branches of a tree-antidotes against sexual passion (Marriage, Prayer, Business, Abstinence)",""
"Bull-Christ",""
"bundle of sticks-unity",""
"Cameo with a pair of winged horses and a charioteer-Plato's immortal comparison of the human soul",""
"carrying on shoulders-saving souls",""
"celestial fire carried by the torch of Prometheus-clarity of knowledge infused into the heart of the ignorant that can be attained at the expense of happiness and peace of mind",""
"central zone of the tomb-realm of Nature (the only sphere subject to time)",""
"chain with a heart-good counsel coming from heart",""
"children crouching down-unborn souls doomed to descend to the lower spheres",""
"closed cash box-Saturninian parsimony",""
"cone shell-fertility",""
"cone shell-panic",""
"Cupid between Venus Coelestis and Venus Vulgaris-love acts as an intermediary between heaven and earth",""
"Cupid unblindfolding himself-Cupid transforming himself from a personification of blind, ignoble love to an exponent of seeing, platonic love",""
"Cupid-amor carnalis",""
"deer-souls",""
"desolate scenery-destructive power of time",""
"dog-envy","https://w3id.org/simulation/data/dog-envy @ https://w3id.org/simulation/data/dog-envy"
"dolphin-haste",""
"dolphin-persuasion",""
"dove-Holy Spirit","https://w3id.org/simulation/data/dove-theHolySpirit"
"dragon biting its tail-time",""
"Draped Ganymede raped by the eagle, so that he is not hurt by the eagle's talons-perfect harmony of soul and body",""
"dressed girl-Heavenly Life",""
"empty throne-invisible presence of an immortal",""
"Europa-human soul",""
"face of a young man-the future",""
"face of a young woman-the future",""
"face of an adult man-the present",""
"face of an adult woman-the present",""
"face of an old man-the past",""
"face of an old woman-the past",""
"Fall of Phaeton-fate of every temerarius",""
"family-simple happiness of primitive civilization",""
"feathers-months",""
"Fettered ape-blind and unhappy human soul",""
"Fettered ape-subjugation of base emotions",""
"Fettered slave-unregenerated human soul held in bondage by its natural desires",""
"fire-fire to burn the time",""
"fire-luxury",""
"fly-decade",""
"flying towards Mary's head-to fertilise",""
"four rivers of Hades-four elements (air, fire, earth, water)",""
"four rivers of Hades-fourfold aspect of matter as a source of potential evil",""
"four Times of Day-four humours",""
"four Times of Day-fourfold aspect of life on earth as a state of actual suffering",""
"four Times of Day-realm of Nature",""
"four wings-four seasons","https://w3id.org/simulation/data/fourWings-theFourSeasons @ https://w3id.org/simulation/data/fourWings-theFourSeasons"
"Ganymede ascending to Heaven on the wings of an eagle-ecstasy of Platonic love",""
"Ganymede-Mind",""
"glass sphere-God",""
"glass sphere-harmony that can be easily broken",""
"glass sphere-heaven",""
"hares-animal love, fertility",""
"head of a dog-the future",""
"head of a lion-the present",""
"head of a wolf-the past",""
"heart-source of living faith",""
"Hercules-Egypt",""
"highest zone of the tomb-supercelestial sphere",""
"hourglass-transience","https://w3id.org/simulation/data/hourglass-theTransienceOfLife"
"ibis-homo carnalis",""
"incense burner-bridal chamber decoration",""
"ivy-eternal love",""
"Ixion-lewdness",""
"jewelry-earthly goods",""
"Jupiter-Pride",""
"Jupiter, Diana, Mercury, Saturn as superior divinities-reason",""
"Jupiter, Minerva, Mercury, Saturn as superior divinities-reason",""
"knotted ribbon bracelets-love",""
"lilium-purity",""
"lion-Fury",""
"liver-seat of physical passions",""
"lowest zone of the tomb-realm of sheer matter",""
"lyre fashioned from a stag's head-low class and uncouth music",""
"manlining on terrestrial world-human mind placed between the fallacious and unreal life on earth and the celestial realm",""
"Mars-Discord",""
"masks-fallacy, deceit",""
"Mercury turning his back to the realm of the natural Venus-the discursive reason is not involved in the activities of the natural Venus",""
"Mercury-Discursive reason",""
"Mercury-Discursive reason: limitations and possibilities of what human reason can do",""
"mermaid-persuasion",""
"mirror-introspection","https://w3id.org/simulation/data/mirror-introspection"
"monk-vita contemplativa",""
"Moses-mens",""
"most primitive natural functions-sphere of a purely vegetative life",""
"mountain ash-the Tree of Life",""
"mouse-all devouring time",""
"myrtle wreath-conjugal love",""
"myrtle-everlasting love","https://w3id.org/simulation/data/myrtle-everlastingLove"
"myrtle-love","https://w3id.org/simulation/data/myrtle-love @ https://w3id.org/simulation/data/myrtle-love"
"natural Venus-Amor humanus",""
"nude girl-Worldly Happiness",""
"owl-attribute of wisdom",""
"ox carrying off his master-Luke the Evangelist obeys the dictates of the Holy spirit",""
"ox-Christ","https://w3id.org/simulation/data/ox-christ"
"peaceful landscape on the left-innocent happiness of a pastoral civilization",""
"peaceful landscape on the left-reprehensible pleasure",""
"Personification of time-lapse of time",""
"Phaeton-the presumptuous",""
"pillow-idleness and lechery",""
"playful attitude-joy, love",""
"Pluto-Avarice",""
"princely sceptre-Jovial magnanimity",""
"puer mingens-fertility",""
"Punishment of Prometheus-the price which mankind has to pay for its intellectual awakening",""
"punishment of Tityus (liver devoured by a vulture)-tortures caused by immoderate love",""
"putti with dolphins-love",""
"raising an arm-calming the riots",""
"red cloth-bridal chamber decoration",""
"right man-salamander",""
"rod-venus punished Cupid",""
"rose-virginity",""
"roses-pleasures of permanent congeniality",""
"Saint Paul-mens",""
"sarcophagus converted in a spring of life-vis generandi",""
"Satyr-Egyptian desert, wilderness",""
"serpent-attribute of wisdom",""
"serpent-Perfidy",""
"serpent-pitfalls of love",""
"shepherdess-amorous implications of the Arcadian milieu",""
"sitting down on a lion-quando est in leone",""
"skull-death personified",""
"Slave-human soul in so far as it is devoid of freedom",""
"sleeping Cupid-natural desire has nothing to do with love",""
"sleeping youth-simple happiness of primitive civilization",""
"snake-subterranean world",""
"soap bubbles-futility",""
"stepping on-defeating devil",""
"weighing with balance-weighing of souls",""
"weighing with balance-allusion to last judgement",""
"Sisyphus-pride",""
"Tantalus-avarice",""
"Temple of Solomon ornate as a church-correlation between the Old Testament and the New",""
"the Grace turning his back-favor conferred",""
"threatening and wild landscape on the right-merciless hardships of unmitigated wildness",""
"threatening and wild landscape on the right-praiseworthy virtues",""
"three books-three forms of time (past, present, future)",""
"three headed companion of Serapis-prudence",""
"three heads-three forms of time (past, present, future)",""
"three headed companion of Serapis-three forms of time (past, present, future)",""
"tombs-christian rite of burial",""
"torch-unholy ardor",""
"trophies-ultimate triumph over the lower forms of existence",""
"two billing doves-amorous caresses",""
"two Graces facing the observer-favor returned twofold",""
"two rats, one black, one white-destruction of life by each day and night",""
"urinating-wish of fertility",""
"urns-pagan custom of cremation",""
"Venus Coelestis-Amor divinus",""
"Venus Coelestis-principle of universal and eternal but purely intelligible beauty",""
"Venus Vulgaris-generative force that creates the perishable but visible and tangible images of Beauty of Earth",""
"Venus, Cupid, Vulcan-lower soul",""
"Venus' belt-seduction",""
"Victory-human soul in state of freedom",""
"white lilium-virginity",""
"white-purity","https://w3id.org/simulation/data/white-purity"
"wolf-Greed","https://w3id.org/simulation/data/wolf-greed"
"young Mago-future time",""
"dragoon-devil",""
"Three Graces-three aspects of Venus",""
"Fettered slave-human soul in so far as it is devoid of freedom",""
